Frm_SN,To_SN,Procuct_Id,Sys_Date,Qty,SI,So_Id,Usr_Id
X0C95408603141,X0C95408603160,31030119105,20200414,20,20100111,,12040303
X0C95408604641,X0C95408604660,31030119105,20200414,20,20100111,,12040303
X0C95408604661,X0C95408604680,31030119105,20200414,20,20100111,,12040303
X0C95408604541,X0C95408604560,31030119105,20200414,20,20100111,,12040303
X0C95408602521,X0C95408602540,31030119105,20200414,20,20100111,,12040303
X0C95408602581,X0C95408602600,31030119105,20200414,20,20100111,,12040303
X0C95408603081,X0C95408603100,31030119105,20200414,20,20100111,,12040303
X0C95408602421,X0C95408602440,31030119105,20200414,20,20100111,,12040303
X0C95408602961,X0C95408602980,31030119105,20200414,20,20100111,,12040303
X0C95408602721,X0C95408602740,31030119105,20200414,20,20100111,,12040303
X0C95408604281,X0C95408604300,31030119105,20200414,20,20100111,,12040303
X0C95408604441,X0C95408604460,31030119105,20200414,20,20100111,,12040303
X0A95449200741,X0A95449200760,31030119105,20200414,20,20100111,,12040303
X0C95408604081,X0C95408604100,31030119105,20200414,20,20100111,,12040303
X0C95408604161,X0C95408604180,31030119105,20200414,20,20100111,,12040303
X0C95408604221,X0C95408604240,31030119105,20200414,20,20100111,,12040303
X0C95408604041,X0C95408604060,31030119105,20200414,20,20100111,,12040303
X0C95408604601,X0C95408604620,31030119105,20200414,20,20100111,,12040303
X0C95408604681,X0C95408604700,31030119105,20200414,20,20100111,,12040303
X0C95408602461,X0C95408602480,31030119105,20200414,20,20100111,,12040303
X0C95408602901,X0C95408602920,31030119105,20200414,20,20100111,,12040303
X0C95408604121,X0C95408604140,31030119105,20200414,20,20100111,,12040303
X0C95408603021,X0C95408603040,31030119105,20200414,20,20100111,,12040303
X0C95408602801,X0C95408602820,31030119105,20200414,20,20100111,,12040303
X0C95408602781,X0C95408602800,31030119105,20200414,20,20100111,,12040303
X0C95408604321,X0C95408604340,31030119105,20200414,20,20100111,,12040303
X0C95408601901,X0C95408601920,31030119105,20200414,20,20100111,,12040303
X0C95408604141,X0C95408604160,31030119105,20200414,20,20100111,,12040303
X0C95408603020,X0C95408603020,31030119105,20200414,1,20100111,,12040303
X0C95408602941,X0C95408602960,31030119105,20200414,20,20100111,,12040303
X0C95408602741,X0C95408602760,31030119105,20200414,20,20100111,,12040303
X0C95408602441,X0C95408602460,31030119105,20200414,20,20100111,,12040303
X0C95408602761,X0C95408602780,31030119105,20200414,20,20100111,,12040303
X0C95408602701,X0C95408602720,31030119105,20200414,20,20100111,,12040303
X0C95408604361,X0C95408604380,31030119105,20200414,20,20100111,,12040303
X0C95408604521,X0C95408604540,31030119105,20200414,20,20100111,,12040303
X0C95408600581,X0C95408600600,31030119105,20200414,20,20100111,,12040303
X0C95408604421,X0C95408604440,31030119105,20200414,20,20100111,,12040303
X0C95408604001,X0C95408604020,31030119105,20200414,20,20100111,,12040303
X0C95408604341,X0C95408604360,31030119105,20200414,20,20100111,,12040303
X0C95408604501,X0C95408604520,31030119105,20200414,20,20100111,,12040303
X0C95408604201,X0C95408604220,31030119105,20200414,20,20100111,,12040303
X0C95408604481,X0C95408604500,31030119105,20200414,20,20100111,,12040303
X0A95366300101,X0A95366300200,31010105107,20200414,100,20100110,,12040303
X0A95447100501,X0A95447100600,31010105107,20200414,100,20100110,,12040303
X0A95366300501,X0A95366300600,31010105107,20200414,100,20100110,,12040303
X0A95447100301,X0A95447100400,31010105107,20200414,100,20100110,,12040303
X0A95447100001,X0A95447100100,31010105107,20200414,100,20100110,,12040303
X0A95447100701,X0A95447100800,31010105107,20200414,100,20100110,,12040303
